26-2763038,46801634
58-1289174,46241712
87-1061849,46235572
93-0884929,46183252
95-1977659,46169493
38-3428219,46093154
13-3505428,45761308
95-6097416,45604611
04-3252955,45563468
31-1181284,45431477
59-3564329,45283405
95-6205398,45219615
04-2103922,45189768
95-1709293,45122114
13-4159765,45093906
13-3600232,44983722
95-1644024,44946146
73-1628382,44892397
58-2492929,44790052
61-0444640,44782294
36-3363171,44081313
13-6167177,43970504
94-1312311,43949984
44-0546278,43890370
52-0895622,43799827
13-2578670,43724114
01-0347504,43453136
23-7135845,42887836
47-1442997,42872028
53-0183181,42802063
41-0907046,42480608
54-1254491,42441504
53-0196552,42370093
32-0077563,42317102
06-1504413,42311196
77-0169214,42194834
94-3187528,42193426
27-3990987,42042342
41-2024986,41899008
23-7395681,41684799
22-3076454,41513584
06-1576405,41458493
52-1614576,41400640
83-1400442,41198488
84-1166148,41191880
95-4109386,41125286
45-5257937,41093385
01-0559608,40799256
72-0435081,40673538
52-2096845,40604855
52-1957214,40592191
23-1669589,40517893
54-1615454,40493708
52-1969967,40354963
13-2933675,40277389
84-1612422,40267174
27-1720480,40257630
91-1189249,40153392
58-1450139,40115958
13-3562071,40015161
80-0478843,40013749
05-0536854,39950026
91-2166435,39865015
54-1939556,39793171
13-3366846,39537069
59-2654440,39309635
43-1209344,39116294
62-1274532,39079457
52-1181448,38956871
91-0880684,38897444
54-1849891,38855948
36-2795409,38855480
23-7178820,38836963
23-7087608,38664221
85-3209787,38551891
41-1616861,38368250
31-1562134,38357245
36-4443093,38178610
54-0791977,38122947
74-2421560,38110165
74-1388420,38051355
16-0743045,37909785
95-1641426,37676823
42-1526614,37640315
23-7218859,37609581
34-1667990,37548229
36-3453183,37545157
52-6065757,37482212
94-2681765,37444566
22-1905062,37411876
56-0547499,37344111
54-1837741,37250721
04-2104754,37057328
13-3573852,37032621
46-0332149,37013950
72-1065318,36802762
59-2807815,36794893
35-2645251,36763800
23-7122879,36719898
27-3943866,36653414
04-2106765,36409751
95-2492427,36223972
94-1670490,36217909
48-1159633,36186856
43-0654866,36156227
56-0532314,36030346
13-5563028,36007350
74-1157373,35994603
36-4709977,35828788
59-2509116,35709975
51-0401308,35660414
22-2623089,35639314
20-0583415,35550794
43-0967292,35507108
23-1409677,35402318
94-6001984,35251899
94-3173571,35210905
94-2759879,35206795
56-1514058,35180731
95-3702136,35057821
23-6000149,34787671
06-0653142,34563252
41-1558711,34369814
86-0550646,34353301
04-3478123,34310202
31-0537138,34213891
47-0690207,34105411
95-2831058,33994479
75-3029336,33978565
22-1487275,33964570
52-1127007,33951883
68-0200138,33940327
75-2353393,33884225
59-0637867,33872569
11-1631747,33870328
63-0837956,33855843
52-1786332,33838941
13-3840394,33725316
25-1209266,33712828
13-1837442,33675150
91-0787084,33559822
76-0031827,33424349
62-1325543,33409513
81-0421243,33382833
58-1655184,33379671
26-1342579,33295008
13-2890727,32979466
22-1500529,32897853
94-2512284,32872425
65-0032862,32815073
98-0118876,32796076
95-3877793,32755610
13-5562202,32750647
38-2048765,32747612
94-2607722,32414608
52-0634411,32336820
30-0038860,32249676
38-1948285,32086453
59-1964612,31976428
43-0899356,31880750
84-1351483,31848432
52-1541501,31713249
86-0256667,31662926
04-2698497,31439793
13-1659345,31390401
41-1968798,31201183
94-2917999,31168233
26-1759681,31128437
95-1855640,31042175
34-0714652,30999535
11-2494808,30902975
95-3635496,30870436
22-2659560,30823108
52-1847976,30675941
13-3538961,30621048
23-7129564,30608340
56-1837620,30592327
41-1260581,30547585
46-1192687,30525715
23-7416272,30369685
94-2260626,30349510
95-1690974,30197316
52-2146673,30195634
59-1834379,30188706
52-1584936,30154665
23-7232208,30071909
95-1543396,29916512
75-2057692,29855581
13-3461695,29846599
94-1592676,29798676
75-0800634,29694811
95-1683861,29674182
75-0818172,29606729
80-0790222,29585342
74-2320657,29431817
36-2593545,29402363
34-1087615,29242242
27-1777117,29239466
06-1296692,29238420
23-7421892,29222210
45-3813436,29210184
93-0354176,29179947
38-2394044,29123532
33-0748536,28925228
31-0897638,28922737
61-0659583,28900392
94-3112338,28777753
94-2699571,28671006
04-2751023,28657996
04-6149986,28629801
47-2229589,28606630
52-1982223,28594144
85-0197752,28571341
36-3576073,28523400
36-6154098,28449427
56-0863474,28435944
59-1279497,28326480
31-1066881,28313694
51-0189400,28280492
95-1690988,28260751
23-1352265,28256226
16-1095750,28256004
23-7396710,28253913
43-2014630,28210005
43-0653618,28199996
30-0728021,28119627
38-2474879,28113535
23-2836648,28112600
88-0108496,27986369
44-0552079,27963583
94-6050231,27941301
33-0215585,27937401
86-1082880,27891927
43-1125281,27879182
91-0852503,27843318
36-2177140,27684203
34-0714338,27614727
52-1759564,27548245
59-2610345,27526902
04-2171186,27525942
94-2545356,27502678
74-2436920,27498121
23-2280560,27430533
20-1734070,27422767
94-2221849,27394642
20-5010527,27387443
23-1490061,27302147
58-0566123,27276380
94-3341034,27240222
26-2427526,27076985
74-2162248,27022757
25-1198158,26993736
58-0566236,26836460
58-1919768,26789896
20-3455598,26526932
05-0395601,26504097
42-6053860,26493454
77-0480427,26479917
42-0680425,26442012
55-0360199,26416852
95-2319356,26386517
75-2332948,26345029
75-2084961,26329429
47-4649648,26265610
20-4741060,26197697
91-2083484,26159382
74-1946756,26121886
13-1623838,26096101
73-0580283,26094881
26-2117502,26052125
87-0745629,26022257
11-3769438,26013416
75-2831756,25973083
52-0915574,25969354
06-0667607,25891910
74-2227731,25888290
77-0326685,25802721
59-2872225,25775210
52-1372972,25725278
26-2061324,25673993
95-1643396,25619554
86-2828908,25597442
23-7367533,25591458
53-0234290,25572571
33-1029843,25535375
46-1657101,25529583
13-1628180,25360828
36-2170817,25305594
85-0417347,25298598
59-1777567,25273511
95-4002138,25264129
94-3060756,25195025
83-1772542,25103494
95-4539765,25085744
75-1251128,25065055
44-6005481,24990216
74-2469139,24988848
35-1708240,24963976
64-0851798,24959106
30-1032421,24939807
36-2896025,24895067
31-4393712,24823088
93-0685734,24795044
23-7120815,24740470
52-1141804,24644874
22-3053747,24614571
76-0391401,24599598
48-0959213,24577284
25-1577930,24565424
81-3380647,24548359
91-0727076,24546044
84-0432950,24505109
