,ein,org_name,city,state_code,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
941,84-1328829,Compassion and Choices,LITTLETON,CO,14.0,7.142857142857142,14.285714285714285,,,,,78.57142857142857,,,,,57.14285714285714,42.85714285714285,,,,,,17.0,5.88235294117647,23.52941176470588,11.76470588235294,,,,52.94117647058824,,5.88235294117647,,,64.70588235294117,29.411764705882355,,,5.88235294117647,,,87.0,4.597701149425287,13.79310344827586,12.643678160919542,,2.2988505747126435,,60.91954022988506,2.2988505747126435,,1.1494252873563218,2.2988505747126435,72.41379310344827,27.58620689655172,,,,,,248864.0,203311.25,-22.40542517937399,0.6666666666666666,0.3333333333333333,93781.69158878503,272467.0,11345614.0,WWW.COMPASSIONANDCHOICES.ORG,113,22133831.0
942,84-1351483,The Wild Animal Sanctuary A Colorado Non-Profit Corporation,KEENESBURG,CO,5.0,,,20.0,,,,40.0,40.0,,,,60.0,40.0,,,,,100.0,6.0,,16.666666666666664,33.33333333333333,,,,50.0,,,,,50.0,50.0,,,,,100.0,94.0,2.127659574468085,2.127659574468085,11.702127659574469,,3.191489361702128,,57.44680851063831,23.404255319148938,,,,56.38297872340425,43.61702127659575,,,,,,150349.0,258925.0,41.93337839142609,0.5,0.5,40533.83211678832,258925.0,5962409.0,WWW.WILDANIMALSANCTUARY.ORG,139,31848432.0
943,84-1550819,Mothers Without Borders,AMERICAN FORK,UT,9.0,,,,,,,,,,,,55.55555555555556,44.44444444444444,,,,,,5.0,,20.0,,,,,80.0,,,,,60.0,40.0,,,,,,91.0,,89.01098901098901,,,,,10.989010989010987,,,,,,,,,,,,165928.0,0.0,-1.0,0.0,1.0,48482.857142857145,165928.0,844688.0,WWW.MOTHERSWITHOUTBORDERS.ORG,15,1572153.0
944,84-1648607,Educate,Brooklyn,NY,7.0,14.285714285714285,42.85714285714285,,,,,42.85714285714285,,,,,42.85714285714285,57.14285714285714,,,,,,18.0,,66.66666666666666,,,,,33.33333333333333,,,,,50.0,50.0,,,,,,190.0,,94.73684210526316,,,,,5.263157894736842,,,,,,,,,,,,0.0,176802.0,100.0,1.0,0.0,163733.5,176802.0,3778939.0,https://www.experienceeducate.org/,23,6072389.0
945,84-1700955,Thread Inc,BALTIMORE,MD,13.0,0.0,0.0,0.0,,0.0,,30.76923076923077,0.0,69.23076923076923,0.0,0.0,46.15384615384615,53.84615384615385,,,,,,5.0,,40.0,,,,,60.0,,,,,60.0,40.0,,,,,,58.0,,44.82758620689656,,,,,48.27586206896552,,6.896551724137931,,,55.172413793103445,41.37931034482759,3.4482758620689653,,,,,157931.5,0.0,-1.0,0.0,1.0,35237.845360824744,163282.0,3733934.0,WWW.THREAD.ORG,99,4591129.0
946,85-0197752,Ser-Jobs for Progress National Inc,Irving,TX,20.0,,,100.0,,,,,,,,,65.0,35.0,,,,,,10.0,,20.0,70.0,,,,10.0,,,,,50.0,50.0,,,,,,60.0,1.6666666666666667,11.666666666666666,66.66666666666666,,,,18.33333333333333,1.6666666666666667,,,,66.66666666666666,33.33333333333333,,,,,,0.0,425350.0,100.0,1.0,0.0,11531.540763673893,425350.0,22773476.0,www.ser-national.org,1939,28571341.0
947,85-6000484,Santa Fe Animal Shelter Inc,Santa Fe,NM,8.0,,,,,,,100.0,,,,,50.0,50.0,,,,,100.0,9.0,,,33.33333333333333,,,,66.66666666666666,,,,,77.77777777777779,22.22222222222222,,,,,100.0,96.0,,,51.04166666666666,,4.166666666666666,,33.33333333333333,11.458333333333332,,,,,,,,,,,0.0,192276.0,100.0,1.0,0.0,31364.32075471698,192276.0,5179203.0,SFHUMANESOCIETY.ORG,160,9471649.0
948,86-0133718,Boys & Girls Clubs of Scottsdale Inc,Scottsdale,AZ,,,,,,,,,,,,,,,,,,,,6.0,,,16.666666666666664,,,,83.33333333333334,,,,,66.66666666666666,33.33333333333333,,,,,83.33333333333334,125.0,2.4,9.6,17.599999999999998,,8.0,,43.2,4.8,,,14.4,56.00000000000001,36.8,,7.199999999999999,,,,0.0,238409.0,100.0,1.0,0.0,20235.71063829787,238409.0,4993801.0,WWW.BGCS.ORG,236,12624674.0
949,86-0136925,Desert Botanical Garden,Phoenix,AZ,45.0,2.2222222222222223,6.666666666666667,20.0,,,2.2222222222222223,68.88888888888889,,,0.0,,53.333333333333336,44.44444444444444,,2.2222222222222223,,2.2222222222222223,86.66666666666667,17.0,,5.88235294117647,,,,,88.23529411764706,,,5.88235294117647,,70.58823529411765,23.52941176470588,,5.88235294117647,,,,142.0,2.112676056338028,2.8169014084507045,14.084507042253522,,2.8169014084507045,,67.6056338028169,3.5211267605633805,,7.042253521126761,,58.45070422535211,41.54929577464789,,,,,,191843.75,362962.0,47.14494905802811,0.2,0.8,41842.9846743295,362962.0,12051356.0,WWW.DBG.ORG,266,39207596.0
950,86-0212873,Unidosus,WASHINGTON,DC,24.0,,,91.66666666666666,,,,,,,,2.0,50.0,50.0,,,,,,15.0,,,86.66666666666667,,,,13.333333333333334,,,,,80.0,20.0,,,,,,143.0,4.195804195804196,4.895104895104895,78.32167832167832,,,,11.888111888111888,0.6993006993006993,,,,69.23076923076923,30.76923076923077,,,,,,406280.4,249366.75,-62.92484864160921,0.4444444444444444,0.5555555555555556,101019.68322981366,668841.0,19293038.0,WWW.UNIDOSUS.ORG,170,59760466.0
