,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10728,12350,28799,1064093,270943677.0,227296.875,208347.2,-9.095238620917383,38.46153846153847,61.53846153846154,122206.2105263158,329109.0,14469701.0,WWW.THORN.ORG,108,19053788.0,THORN,60.0,80.0,50.0,60.0,
10729,12351,28801,1064158,270951554.0,90407.5,118206.25,23.51715751070692,66.66666666666666,33.33333333333333,56671.15151515151,281762.0,13744676.0,WWW.VISTANORTECHARTER.ORG,237,21452237.0,ALTA VISTA PUBLIC CHARTER INC,,60.0,50.0,,
10730,12352,28811,1065270,271120123.0,372030.77777777775,368847.0,-0.8631703057847162,40.0,60.0,86553.96076352068,935830.0,87181744.0,WWW.MYCTS.ORG,958,438773486.0,Creative Testing Solutions,60.0,37.5,44.44444444444444,60.0,
10731,12353,28813,1065447,271151001.0,182825.0,0.0,-1.0,0.0,100.0,39699.45344827586,182825.0,23208508.0,www.goalac.org,581,48674529.0,GOAL Academy,0.0,0.0,50.0,,
10737,12362,28833,1067072,271397124.0,209115.0,193114.66666666663,-8.285405562153061,75.0,25.0,46296.985074626864,209115.0,3890357.0,WWW.ROSKAMPINSTITUTE.ORG,71,7403056.0,THE ROSKAMP INSTITUTE INC,,40.0,75.0,0.0,
10738,12364,28849,1068715,271679491.0,220000.0,0.0,-1.0,0.0,100.0,47801.02958579882,220000.0,8298374.0,www.mycompassacademy.com,170,13322993.0,COMPASS ACADEMY CHARTER SCHOOL INC,,12.5,50.0,,
10739,12365,28851,1068828,271701100.0,281083.0,155985.0,-80.19873705805045,50.0,50.0,33534.82352941176,281083.0,5982003.0,WWW.PACESWC.ORG,172,8425718.0,PACES INC,100.0,25.0,60.0,,
10740,12366,28852,1068840,271703237.0,251118.66666666663,208785.3333333333,-20.276009170503663,66.66666666666666,33.33333333333333,36949.32004830918,305623.0,32600105.0,HTTP://WWW.CORERESPONSE.ORG,837,62013708.0,CORE COMMUNITY ORGANIZED RELIEF EFFORT,40.0,42.85714285714285,40.0,,
10741,12367,28854,1069106,271757642.0,391842.5,412284.77777777775,4.958290696048006,81.81818181818183,18.181818181818183,32998.359073359075,467513.0,10449238.0,WWW.OCHSNERRUSH.ORG,270,24686750.0,KEMPER CAH INC,0.0,33.33333333333333,22.22222222222222,,
10744,12371,28860,1069303,271791162.0,152018.0,0.0,-1.0,0.0,100.0,75390.08771929824,152018.0,4449253.0,WWW.LIVING-FUTURE.ORG,58,5297800.0,INTERNATIONAL LIVING FUTURE INSTITUTE,60.0,100.0,44.44444444444444,,
10745,12372,28868,1069768,271881962.0,187864.0,173946.0,-8.001333747254895,50.0,50.0,61665.89491525424,250933.0,19638679.0,HTTP://WWW.ALPHAPUBLICSCHOOLS.ORG/,303,31741030.0,ALPHA PUBLIC SCHOOLS,60.0,80.0,33.33333333333333,0.0,0.0
10749,12378,28881,1070592,272028308.0,225903.0,0.0,-1.0,0.0,100.0,72225.17699115044,356880.0,9065057.0,HEALTHIERGENERATION.ORG,117,26881864.0,ALLIANCE FOR A HEALTHIER GENERATION,80.0,63.63636363636363,60.0,,
10750,12379,28882,1070664,272039417.0,399848.8,909891.8125,56.05534696467005,76.19047619047619,23.809523809523807,115436.31269243929,1694372.0,352378240.0,,2944,320705214.0,St Vincent Medical Group Inc,0.0,33.33333333333333,50.0,33.33333333333333,
10752,12382,28887,1070922,272087950.0,153497.0,0.0,-1.0,0.0,100.0,32000.11246943765,153497.0,13241543.0,www.marysplaceseattle.org,410,27157321.0,Mary's Place Seattle,,56.25,83.33333333333334,,
10754,12385,28893,1071164,272133169.0,192325.4,199924.8,3.8011292245884425,50.0,50.0,66833.07142857143,235596.0,5703903.0,WWW.WASHINGTONSTEM.ORG,66,51456581.0,THE WASHINGTON STEM CENTER,60.0,54.54545454545454,83.33333333333334,33.33333333333333,
10757,12391,28906,1072050,272296079.0,421582.0,560121.0,24.733762883376983,50.0,50.0,,0.0,13995509.0,WWW.JEWISHBOCA.ORG,476,34610476.0,FEDERATION CCRC OPERATIONS CORP,,0.0,33.33333333333333,,
10759,12393,28921,1072782,272445084.0,0.0,224572.0,100.0,100.0,0.0,45560.44642857143,224572.0,2775957.0,WWW.VASNPO.ORG,57,3713957.0,VISITING ANCILLARY SERVICES INC,,50.0,25.0,,
10760,12394,28927,1073248,272536621.0,0.0,151869.0,100.0,100.0,0.0,39732.19607843137,151869.0,2178211.0,WWW.KEYSNONPROFIT.ORG,52,8622832.0,KNOWLEDGE EDUCATION FOR YOURSUCCESS INC,100.0,100.0,25.0,,
